Application                                                  Testcase           xsd  xml-compare        xpath
W4 BPMN+ Composer V.10.4                                     C.4.0                0         1242          106
W4 BPMN+ Composer V.10.4                                     A.4.0                0          303            0
W4 BPMN+ Composer V.10.4                                     B.1.0                0          539            1
W4 BPMN+ Composer V.10.4                                     A.1.0                0           86            0
W4 BPMN+ Composer V.10.4                                     C.1.1                0           48            0
W4 BPMN+ Composer V.10.4                                     B.2.0                0         1476            0
W4 BPMN+ Composer V.10.4                                     C.3.0                0          136            0
IBM BlueWorks Live April 2014                                A.2.0                0            8           42
IBM BlueWorks Live April 2014                                A.1.0                0            8           20
Modelio 3.5                                                  C.1.0                1          140           73
Modelio 3.5                                                  A.3.0                1           46           29
Modelio 3.5                                                  A.2.0                1           44           26
Modelio 3.5                                                  C.2.0                1          160           65
Modelio 3.5                                                  A.4.0                1           85           42
Modelio 3.5                                                  B.1.0               13          144           79
Modelio 3.5                                                  A.1.0                1           28           12
Modelio 3.5                                                  C.1.1               22           80           37
Modelio 3.5                                                  B.2.0                9          381          230
Modelio 3.5                                                  C.3.0                1           86           58
GenMyModel 0.47                                              C.1.0                -            -            -
GenMyModel 0.47                                              A.3.0                0           69            0
GenMyModel 0.47                                              A.2.0                0           61            0
GenMyModel 0.47                                              C.2.0                9          160           56
GenMyModel 0.47                                              A.4.0                0          106            0
GenMyModel 0.47                                              B.1.0                0          153            0
GenMyModel 0.47                                              A.1.0                0           35            0
GenMyModel 0.47                                              C.1.1                -            -            -
GenMyModel 0.47                                              B.2.0                0          633            1
GenMyModel 0.47                                              C.3.0                0          228           29
SoftwareAG ARIS 10.0.14                                      C.1.0                0          293           76
SoftwareAG ARIS 10.0.14                                      A.3.0                0          132            0
SoftwareAG ARIS 10.0.14                                      A.4.1                0          220           32
SoftwareAG ARIS 10.0.14                                      A.2.0                0          123            0
SoftwareAG ARIS 10.0.14                                      C.2.0                0          376            2
SoftwareAG ARIS 10.0.14                                      C.4.0                0          631           73
SoftwareAG ARIS 10.0.14                                      A.4.0                0          122            2
SoftwareAG ARIS 10.0.14                                      B.1.0                0          385            4
SoftwareAG ARIS 10.0.14                                      A.1.0                0           67            0
SoftwareAG ARIS 10.0.14                                      C.1.1                0          242           43
SoftwareAG ARIS 10.0.14                                      B.2.0                1         1132           30
SoftwareAG ARIS 10.0.14                                      C.3.0                0          203           64
Enterprise Explorer 1.0.0                                    C.1.0                0          146           78
Enterprise Explorer 1.0.0                                    A.3.0                0           47           29
Enterprise Explorer 1.0.0                                    A.4.1                0          104           39
Enterprise Explorer 1.0.0                                    A.2.0                0           45           30
Enterprise Explorer 1.0.0                                    C.2.0                0          161           65
Enterprise Explorer 1.0.0                                    C.4.0                0          243          113
Enterprise Explorer 1.0.0                                    A.4.0                0           91           41
Enterprise Explorer 1.0.0                                    B.1.0                1          154           83
Enterprise Explorer 1.0.0                                    A.1.0                0           29           12
Enterprise Explorer 1.0.0                                    C.1.1                3           82           22
Enterprise Explorer 1.0.0                                    B.2.0                1          399          220
Enterprise Explorer 1.0.0                                    C.3.0                0           87           66
BIC Cloud Design 6.2.0                                       A.3.0                0           46           19
BIC Cloud Design 6.2.0                                       A.4.1                0           91           36
BIC Cloud Design 6.2.0                                       A.2.0                0           44           29
BIC Cloud Design 6.2.0                                       C.2.0                0          144           81
BIC Cloud Design 6.2.0                                       A.4.0                0           61           31
BIC Cloud Design 6.2.0                                       B.1.0                0          142           66
BIC Cloud Design 6.2.0                                       A.1.0                0           28           12
BIC Cloud Design 6.2.0                                       C.1.1                3           83           22
BIC Cloud Design 6.2.0                                       B.2.0                0          370          182
BIC Cloud Design 6.2.0                                       C.3.0                0           86           61
Bizagi Modeler 2.8.0.8                                       A.3.0                0          146            0
Bizagi Modeler 2.8.0.8                                       A.4.1                0          244           47
Bizagi Modeler 2.8.0.8                                       A.2.0                0          117            0
Bizagi Modeler 2.8.0.8                                       A.4.0                0          238            0
Bizagi Modeler 2.8.0.8                                       B.1.0                2          447            7
Bizagi Modeler 2.8.0.8                                       A.1.0                0           81            0
